date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:19:52	75728/75728	---M--	200	added ('OK')	text/html	etag:%22127d0-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-solid-900.woff2	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-solid-900.html	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:19:52	98384/98384	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2218050-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-solid-900.woff	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-solid-900.woff	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:19:52	192472/192472	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%222efd8-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-solid-900.ttf	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-solid-900.ttf	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:19:52	847272/847272	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ceda8-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-solid-900.svg	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-solid-900.svg	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:19:53	143258/143258	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2222f9a-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/fonts/MaterialIcons-Regular.eot	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/fonts/MaterialIcons-Regular.eot	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/css/app.css)
09:19:53	44300/44300	---M--	200	added ('OK')	text/html	etag:%22ad0c-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/fonts/MaterialIcons-Regular.woff2	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/fonts/MaterialIcons-Regular.html	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/css/app.css)
09:19:53	57620/57620	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22e114-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/fonts/MaterialIcons-Regular.woff	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/fonts/MaterialIcons-Regular.woff	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/css/app.css)
09:19:53	128180/128180	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%221f4b4-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/fonts/MaterialIcons-Regular.ttf	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/fonts/MaterialIcons-Regular.ttf	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/css/app.css)
09:19:54	156161/156161	---M--	200	added ('OK')	image/png	etag:%2226201-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/img/chat-bg.png	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/img/chat-bg.png	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/css/app.css)
09:19:54	196/196	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jun%202023%2005:19:55%20GMT	https://dreamschat.dreamguystech.com/template-html/template2/assets/img/top-curve-bg.png	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/img/top-curve-bg.png	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/css/app.css)
